Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
female div/dep/mar,none,4.0,no known property,60.0,for free,2,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,guarantor,4.0,car,37.0,rent,1,skilled,none,yes,0
male mar/wid,none,3.0,real estate,34.0,own,2,skilled,none,yes,1
male single,none,4.0,no known property,36.0,for free,1,skilled,none,yes,1
male single,none,2.0,no known property,57.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,4.0,car,52.0,own,2,unskilled resident,none,yes,1
male single,none,4.0,car,39.0,own,1,skilled,yes,yes,1
female div/dep/mar,none,4.0,no known property,38.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,4.0,life insurance,25.0,rent,1,skilled,none,yes,1
male single,none,1.0,real estate,26.0,own,1,skilled,none,yes,1
male single,none,2.0,life insurance,26.0,own,2,unskilled resident,none,yes,1
female div/dep/mar,none,1.0,car,25.0,own,2,skilled,none,yes,1
female div/dep/mar,none,2.0,real estate,21.0,rent,1,skilled,yes,yes,1
male single,none,4.0,life insurance,40.0,own,2,high qualif/self emp/mgmt,yes,yes,1
male single,none,4.0,car,27.0,own,1,skilled,none,yes,1
female div/dep/mar,none,2.0,car,27.0,own,2,skilled,none,yes,1
male mar/wid,none,2.0,life insurance,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,real estate,19.0,rent,1,unskilled resident,none,yes,1
male single,none,4.0,no known property,39.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,car,31.0,own,1,skilled,none,yes,1
male single,none,3.0,car,31.0,own,1,high qualif/self emp/mgmt,none,yes,1
male single,none,3.0,no known property,32.0,rent,1,skilled,yes,yes,1
female div/dep/mar,none,4.0,no known property,55.0,for free,1,high qualif/self emp/mgmt,none,yes,1
male mar/wid,none,2.0,life insurance,46.0,own,2,skilled,yes,yes,1
male div/sep,none,1.0,real estate,46.0,rent,2,skilled,none,yes,0
female div/dep/mar,none,1.0,real estate,43.0,own,2,unskilled resident,none,yes,1
male mar/wid,none,4.0,real estate,39.0,own,1,skilled,yes,yes,1
male mar/wid,none,4.0,real estate,28.0,own,2,skilled,none,yes,1
male single,none,2.0,car,27.0,own,2,skilled,yes,yes,0
male single,none,2.0,car,27.0,own,2,unskilled resident,none,yes,1
male single,none,4.0,car,43.0,own,1,skilled,none,yes,1
male mar/wid,none,1.0,life insurance,22.0,own,1,skilled,yes,yes,0
male single,none,4.0,car,43.0,own,2,skilled,yes,yes,1
male mar/wid,none,2.0,real estate,27.0,own,1,skilled,none,no,1
male div/sep,none,2.0,car,26.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male mar/wid,none,2.0,real estate,28.0,own,3,skilled,yes,yes,0
female div/dep/mar,none,4.0,car,20.0,own,1,skilled,yes,yes,1
male single,none,2.0,car,35.0,own,2,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,car,42.0,own,2,high qualif/self emp/mgmt,yes,yes,0
male single,none,2.0,no known property,40.0,rent,1,unskilled resident,none,no,1
female div/dep/mar,none,2.0,life insurance,35.0,own,1,skilled,none,yes,0
male single,none,2.0,life insurance,35.0,own,2,skilled,yes,yes,1
male single,none,1.0,real estate,33.0,own,1,unskilled resident,none,yes,0
female div/dep/mar,none,2.0,car,23.0,rent,2,skilled,yes,yes,1
female div/dep/mar,none,2.0,car,31.0,own,1,high qualif/self emp/mgmt,none,yes,1
female div/dep/mar,none,2.0,life insurance,33.0,own,1,skilled,none,yes,0
female div/dep/mar,none,3.0,car,20.0,rent,1,skilled,none,yes,1
male single,none,2.0,car,30.0,own,1,skilled,none,yes,1
male single,none,3.0,real estate,47.0,own,2,unskilled resident,none,yes,1
male single,none,3.0,real estate,34.0,own,2,high qualif/self emp/mgmt,none,yes,1
female div/dep/mar,none,2.0,life insurance,25.0,own,1,skilled,yes,yes,0
male mar/wid,none,3.0,car,21.0,rent,1,skilled,yes,yes,1
male single,none,2.0,car,29.0,own,2,skilled,none,yes,1
male single,none,3.0,real estate,46.0,own,2,skilled,none,yes,1
male single,none,4.0,car,20.0,own,1,skilled,none,yes,1
female div/dep/mar,none,4.0,no known property,55.0,for free,3,unemp/unskilled non res,none,yes,0
male single,none,4.0,real estate,74.0,own,1,unskilled resident,none,yes,1
male single,co applicant,3.0,car,29.0,own,2,high qualif/self emp/mgmt,yes,yes,0
male single,none,4.0,no known property,36.0,for free,3,high qualif/self emp/mgmt,yes,yes,1
male div/sep,none,2.0,real estate,33.0,own,2,skilled,yes,yes,1
male single,none,2.0,real estate,25.0,own,1,skilled,none,yes,1
male mar/wid,none,1.0,real estate,25.0,own,1,skilled,yes,yes,0
male mar/wid,none,4.0,real estate,23.0,rent,1,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,real estate,37.0,own,2,skilled,yes,yes,1
male single,co applicant,4.0,car,65.0,own,2,unemp/unskilled non res,none,yes,1
female div/dep/mar,none,1.0,real estate,26.0,own,1,unemp/unskilled non res,none,yes,0
male single,none,4.0,car,39.0,own,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,co applicant,3.0,life insurance,30.0,own,1,skilled,none,yes,1
male single,none,3.0,car,29.0,own,2,skilled,yes,yes,1
male single,none,4.0,car,41.0,own,1,unskilled resident,none,yes,0
female div/dep/mar,none,3.0,car,30.0,own,1,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,4.0,life insurance,41.0,rent,2,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,car,34.0,own,1,skilled,yes,yes,0
male single,guarantor,2.0,real estate,35.0,own,1,skilled,none,yes,1
female div/dep/mar,none,4.0,real estate,55.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male mar/wid,none,3.0,life insurance,61.0,own,2,skilled,none,yes,0
male single,none,2.0,car,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,1.0,real estate,29.0,own,1,skilled,none,yes,1
male single,none,4.0,life insurance,34.0,own,2,skilled,none,yes,1
male single,none,4.0,car,35.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male single,co applicant,3.0,life insurance,31.0,own,1,skilled,yes,yes,0
female div/dep/mar,none,1.0,no known property,29.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,real estate,36.0,rent,2,skilled,none,yes,1
male single,none,4.0,no known property,35.0,for free,1,skilled,yes,yes,0
female div/dep/mar,none,1.0,real estate,27.0,own,1,skilled,none,yes,1
male single,none,2.0,car,32.0,own,1,skilled,yes,yes,1
male single,guarantor,2.0,life insurance,37.0,own,1,skilled,none,yes,1
male single,none,3.0,real estate,36.0,own,1,skilled,none,yes,1
female div/dep/mar,none,1.0,real estate,34.0,rent,1,high qualif/self emp/mgmt,none,yes,1
male single,none,4.0,life insurance,38.0,own,2,skilled,none,yes,1
male single,none,1.0,car,34.0,own,2,skilled,yes,yes,1
male single,guarantor,4.0,no known property,63.0,own,1,skilled,yes,yes,1
female div/dep/mar,none,2.0,car,29.0,rent,1,unskilled resident,yes,yes,0
male single,none,3.0,car,32.0,own,2,skilled,none,yes,1
female div/dep/mar,none,2.0,car,26.0,own,2,skilled,yes,yes,1
male single,none,3.0,car,35.0,own,2,unskilled resident,yes,yes,1
male mar/wid,none,2.0,car,22.0,rent,1,skilled,yes,yes,0
female div/dep/mar,none,4.0,life insurance,23.0,own,1,skilled,none,yes,0
male single,none,3.0,car,28.0,own,1,unskilled resident,none,yes,0
male single,none,4.0,life insurance,36.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male mar/wid,none,2.0,car,33.0,own,1,skilled,none,yes,0
female div/dep/mar,none,4.0,life insurance,26.0,rent,1,skilled,none,yes,0
male single,none,4.0,car,24.0,own,1,skilled,none,yes,1
male single,none,2.0,car,25.0,own,1,skilled,none,yes,1
male single,none,4.0,real estate,39.0,own,1,unskilled resident,none,yes,1
male single,none,4.0,car,44.0,own,2,skilled,yes,yes,1
female div/dep/mar,none,1.0,real estate,23.0,own,1,unskilled resident,none,yes,1
male single,none,1.0,life insurance,26.0,own,1,skilled,none,yes,1
female div/dep/mar,none,4.0,life insurance,57.0,rent,2,skilled,yes,yes,1
female div/dep/mar,none,2.0,life insurance,30.0,own,2,skilled,none,yes,1
male single,none,4.0,real estate,44.0,own,1,skilled,yes,yes,1
male single,none,4.0,life insurance,47.0,own,1,high qualif/self emp/mgmt,yes,yes,0
male single,none,4.0,car,52.0,own,1,skilled,yes,yes,1
female div/dep/mar,co applicant,4.0,no known property,62.0,for free,1,skilled,yes,yes,1
male single,none,2.0,real estate,35.0,rent,1,unskilled resident,none,no,1
male single,guarantor,3.0,life insurance,26.0,rent,1,skilled,none,yes,1
male single,none,2.0,no known property,26.0,own,2,skilled,none,yes,1
female div/dep/mar,none,4.0,no known property,42.0,for free,2,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,1.0,life insurance,27.0,own,2,skilled,none,yes,1
male single,none,4.0,life insurance,38.0,own,1,skilled,none,yes,1
male single,none,2.0,real estate,39.0,rent,2,unskilled resident,none,no,1
male mar/wid,none,4.0,car,20.0,own,1,skilled,none,yes,0
male single,co applicant,1.0,no known property,29.0,rent,1,high qualif/self emp/mgmt,yes,yes,0
male single,none,3.0,life insurance,40.0,own,2,skilled,none,yes,1
male mar/wid,guarantor,2.0,real estate,32.0,own,1,unskilled resident,none,yes,1
male div/sep,none,4.0,car,28.0,own,2,skilled,yes,yes,1
female div/dep/mar,none,1.0,life insurance,27.0,own,1,skilled,none,yes,0
male single,none,4.0,no known property,42.0,for free,1,skilled,none,yes,1
male div/sep,none,4.0,real estate,49.0,own,1,skilled,none,yes,1
male single,none,4.0,no known property,38.0,own,2,skilled,none,yes,0
female div/dep/mar,none,4.0,life insurance,24.0,rent,1,skilled,none,yes,0
male single,guarantor,4.0,life insurance,27.0,own,1,unskilled resident,none,yes,0
male single,none,2.0,car,36.0,own,1,skilled,yes,yes,1
male single,none,2.0,life insurance,34.0,own,1,high qualif/self emp/mgmt,yes,yes,0
male mar/wid,none,2.0,life insurance,28.0,own,1,skilled,none,yes,1
male single,none,2.0,car,45.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,real estate,26.0,own,1,skilled,none,yes,0
male single,none,2.0,no known property,32.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,4.0,life insurance,26.0,rent,1,skilled,yes,yes,1
male mar/wid,co applicant,4.0,real estate,20.0,rent,2,skilled,none,yes,1
male single,none,1.0,life insurance,54.0,own,1,skilled,none,yes,1
female div/dep/mar,none,3.0,life insurance,37.0,own,2,skilled,none,no,1
male single,none,4.0,real estate,40.0,own,1,unskilled resident,none,no,1
female div/dep/mar,none,4.0,life insurance,23.0,rent,2,skilled,yes,yes,0
male single,none,2.0,life insurance,43.0,own,1,skilled,yes,yes,1
male single,none,4.0,no known property,36.0,for free,2,skilled,none,yes,1
male single,none,4.0,no known property,44.0,for free,2,skilled,none,yes,1
female div/dep/mar,none,2.0,real estate,24.0,own,1,skilled,none,yes,0
male single,none,4.0,no known property,53.0,for free,2,skilled,none,yes,0
female div/dep/mar,none,4.0,car,23.0,own,1,skilled,none,yes,1
female div/dep/mar,guarantor,4.0,real estate,26.0,own,1,unskilled resident,none,yes,1
male single,none,3.0,car,30.0,own,2,skilled,none,yes,1
female div/dep/mar,none,3.0,car,31.0,own,1,skilled,none,yes,1
male single,none,1.0,real estate,42.0,own,2,unskilled resident,none,yes,1
male div/sep,none,4.0,car,31.0,rent,1,skilled,none,yes,0
male single,none,4.0,real estate,41.0,own,1,unskilled resident,yes,yes,1
male single,none,1.0,car,32.0,own,2,skilled,none,yes,1
female div/dep/mar,none,4.0,car,28.0,rent,2,skilled,yes,yes,0
male mar/wid,none,4.0,real estate,41.0,rent,1,skilled,none,yes,1
male mar/wid,none,3.0,life insurance,26.0,own,1,skilled,yes,yes,1
male single,none,2.0,car,25.0,own,2,skilled,none,yes,1
male div/sep,none,1.0,car,33.0,rent,1,skilled,none,yes,0
female div/dep/mar,none,3.0,life insurance,75.0,own,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,life insurance,37.0,own,1,skilled,yes,yes,1
male single,none,4.0,no known property,42.0,for free,1,high qualif/self emp/mgmt,none,yes,0
female div/dep/mar,none,1.0,life insurance,45.0,own,1,unskilled resident,none,yes,1
male mar/wid,none,1.0,real estate,23.0,rent,1,skilled,none,yes,0
male single,none,4.0,no known property,60.0,for free,2,skilled,yes,yes,1
male single,none,4.0,life insurance,31.0,own,1,skilled,none,yes,0
male single,none,1.0,real estate,34.0,own,1,unskilled resident,none,yes,0
male single,none,4.0,real estate,61.0,own,2,unskilled resident,none,yes,1
male single,none,2.0,real estate,43.0,for free,2,skilled,none,yes,0
female div/dep/mar,none,4.0,car,37.0,own,1,skilled,yes,yes,1
male single,none,1.0,car,32.0,own,1,skilled,none,yes,1
female div/dep/mar,none,4.0,real estate,24.0,own,1,unskilled resident,none,yes,0
male single,none,1.0,no known property,35.0,for free,2,skilled,yes,yes,1
female div/dep/mar,none,4.0,real estate,23.0,own,2,skilled,none,yes,1
male single,none,4.0,life insurance,45.0,own,1,unskilled resident,none,yes,1
male mar/wid,guarantor,1.0,real estate,34.0,own,2,skilled,yes,yes,0
male single,none,1.0,car,27.0,own,1,skilled,none,yes,1
female div/dep/mar,none,4.0,life insurance,67.0,own,2,high qualif/self emp/mgmt,yes,yes,1
male single,none,1.0,car,22.0,own,1,skilled,none,yes,0
female div/dep/mar,none,3.0,car,28.0,own,2,skilled,none,yes,0
female div/dep/mar,none,4.0,life insurance,29.0,own,2,skilled,yes,yes,0
male single,none,4.0,car,27.0,own,1,skilled,none,yes,0
male single,none,2.0,real estate,31.0,own,2,unskilled resident,none,yes,0
male single,none,4.0,no known property,49.0,for free,1,skilled,yes,yes,1
male single,guarantor,4.0,car,24.0,rent,1,unskilled resident,none,yes,0
female div/dep/mar,none,1.0,life insurance,29.0,own,1,skilled,none,yes,1
male single,none,4.0,no known property,37.0,for free,1,skilled,yes,yes,0
male single,none,2.0,life insurance,37.0,own,2,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,2.0,life insurance,23.0,rent,2,skilled,yes,yes,1
male div/sep,none,3.0,car,36.0,own,1,skilled,none,yes,0
male single,none,2.0,car,34.0,own,1,skilled,none,yes,1
male single,none,1.0,car,41.0,own,2,skilled,yes,yes,1
female div/dep/mar,none,2.0,car,31.0,own,1,skilled,yes,yes,0
female div/dep/mar,none,4.0,real estate,23.0,rent,1,unskilled resident,yes,yes,0
male single,co applicant,2.0,car,38.0,own,1,skilled,none,yes,1
female div/dep/mar,none,4.0,life insurance,26.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,life insurance,22.0,own,1,unskilled resident,none,yes,1
male single,none,4.0,car,27.0,own,2,unskilled resident,none,yes,1
female div/dep/mar,co applicant,3.0,car,24.0,own,2,skilled,none,yes,1
female div/dep/mar,none,1.0,real estate,27.0,own,1,skilled,none,yes,1
female div/dep/mar,none,2.0,car,33.0,own,2,skilled,yes,yes,1
male div/sep,none,4.0,car,27.0,own,2,skilled,none,yes,0
male mar/wid,none,3.0,car,27.0,own,2,unskilled resident,none,yes,1
male single,guarantor,3.0,real estate,30.0,own,2,skilled,none,yes,0
male single,none,3.0,real estate,49.0,own,2,unskilled resident,none,yes,1
female div/dep/mar,none,2.0,real estate,26.0,rent,1,skilled,none,yes,1
male single,none,1.0,no known property,33.0,rent,1,unskilled resident,none,yes,0
female div/dep/mar,none,4.0,no known property,52.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,real estate,20.0,rent,1,skilled,none,yes,0
male single,none,2.0,real estate,36.0,rent,2,skilled,none,yes,1
male single,guarantor,1.0,life insurance,21.0,own,1,unskilled resident,none,yes,1
male mar/wid,none,3.0,real estate,47.0,own,1,unskilled resident,yes,yes,0
male single,none,3.0,life insurance,60.0,own,2,skilled,none,yes,0
female div/dep/mar,none,3.0,real estate,58.0,own,4,unskilled resident,yes,yes,1
female div/dep/mar,none,4.0,car,42.0,rent,2,skilled,yes,yes,1
female div/dep/mar,none,4.0,real estate,36.0,own,1,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,life insurance,20.0,rent,1,unskilled resident,yes,yes,0
male single,none,3.0,car,40.0,own,1,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,1.0,life insurance,32.0,own,1,unskilled resident,none,yes,0
female div/dep/mar,none,4.0,car,23.0,rent,2,skilled,none,yes,0
male single,none,4.0,real estate,36.0,own,3,unskilled resident,yes,yes,0
male single,none,2.0,life insurance,31.0,own,2,skilled,none,yes,0
male single,none,2.0,no known property,32.0,for free,1,skilled,none,yes,1
female div/dep/mar,guarantor,1.0,real estate,45.0,own,1,skilled,none,yes,1
female div/dep/mar,none,1.0,life insurance,30.0,own,1,skilled,none,yes,0
female div/dep/mar,none,4.0,no known property,34.0,for free,1,unskilled resident,none,yes,0
female div/dep/mar,none,2.0,car,28.0,own,1,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,2.0,life insurance,23.0,own,1,skilled,none,yes,1
male single,none,4.0,real estate,22.0,own,1,skilled,yes,yes,1
male single,none,2.0,real estate,74.0,own,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,co applicant,4.0,no known property,50.0,for free,1,skilled,none,yes,0
male single,none,1.0,real estate,33.0,own,1,skilled,none,yes,1
male single,none,4.0,no known property,45.0,for free,1,skilled,none,yes,1
female div/dep/mar,none,3.0,life insurance,22.0,own,1,skilled,none,yes,0
female div/dep/mar,none,4.0,no known property,48.0,for free,1,unskilled resident,none,yes,0
female div/dep/mar,none,2.0,car,29.0,own,1,skilled,none,yes,1
female div/dep/mar,guarantor,4.0,car,22.0,rent,1,skilled,none,no,1
female div/dep/mar,none,1.0,real estate,22.0,own,1,skilled,none,yes,0
male single,none,2.0,car,48.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,no known property,27.0,for free,1,high qualif/self emp/mgmt,none,yes,1
male single,none,3.0,real estate,37.0,rent,3,skilled,none,yes,1
female div/dep/mar,co applicant,4.0,car,21.0,rent,1,skilled,none,yes,0
male div/sep,none,2.0,real estate,49.0,own,1,unskilled resident,none,yes,1
male single,none,3.0,life insurance,27.0,own,2,skilled,none,yes,1
male single,none,2.0,life insurance,32.0,own,2,skilled,none,yes,0
male div/sep,none,2.0,real estate,38.0,own,1,skilled,none,yes,0
female div/dep/mar,none,1.0,car,22.0,rent,1,skilled,none,yes,1
male single,none,4.0,no known property,65.0,for free,2,skilled,none,yes,0
male single,none,2.0,car,35.0,own,1,skilled,none,yes,1
male single,none,2.0,real estate,41.0,own,1,skilled,yes,yes,1
male single,none,3.0,no known property,29.0,own,1,skilled,none,yes,0
male single,none,4.0,real estate,36.0,own,2,skilled,yes,yes,1
male single,none,4.0,real estate,64.0,own,1,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,car,28.0,own,1,skilled,none,yes,1
male single,none,3.0,car,44.0,own,1,skilled,none,yes,0
male single,none,1.0,life insurance,23.0,own,1,skilled,none,yes,1
female div/dep/mar,co applicant,2.0,car,19.0,rent,2,skilled,none,yes,0
female div/dep/mar,none,4.0,car,25.0,own,1,unskilled resident,yes,yes,0
male single,none,4.0,life insurance,47.0,own,3,skilled,yes,yes,1
female div/dep/mar,none,1.0,car,28.0,own,1,skilled,none,yes,1
male single,none,4.0,car,21.0,own,2,skilled,yes,yes,1
female div/dep/mar,none,3.0,car,34.0,own,1,skilled,none,yes,1
male single,none,2.0,life insurance,26.0,own,2,skilled,yes,yes,0
female div/dep/mar,none,1.0,real estate,27.0,own,1,unemp/unskilled non res,none,yes,0
male single,none,4.0,car,38.0,own,2,unskilled resident,none,yes,1
male single,none,2.0,life insurance,40.0,own,1,high qualif/self emp/mgmt,yes,yes,0
male mar/wid,guarantor,2.0,car,33.0,own,2,skilled,yes,yes,1
male mar/wid,none,1.0,life insurance,32.0,own,2,high qualif/self emp/mgmt,yes,yes,1
male single,none,4.0,car,27.0,rent,2,skilled,yes,yes,0
male div/sep,guarantor,2.0,real estate,32.0,own,2,skilled,none,yes,1
female div/dep/mar,none,2.0,life insurance,26.0,own,1,skilled,none,yes,0
male single,none,3.0,no known property,38.0,for free,1,skilled,none,yes,0
male single,none,4.0,car,40.0,rent,1,unskilled resident,none,yes,0
male single,none,1.0,no known property,50.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,life insurance,37.0,own,1,unskilled resident,none,yes,0
male single,co applicant,1.0,real estate,45.0,own,1,skilled,none,yes,0
male single,none,4.0,car,42.0,own,4,high qualif/self emp/mgmt,yes,yes,0
male single,none,3.0,car,35.0,own,2,skilled,yes,yes,1
male single,none,4.0,no known property,22.0,for free,1,skilled,none,yes,1
male single,none,4.0,car,41.0,own,1,unskilled resident,none,yes,0
male single,none,3.0,car,37.0,own,1,skilled,yes,yes,1
female div/dep/mar,none,1.0,car,28.0,own,2,skilled,none,yes,1
male single,none,1.0,no known property,41.0,own,1,skilled,yes,yes,1
male mar/wid,none,4.0,real estate,23.0,rent,1,skilled,none,yes,1
male mar/wid,none,2.0,car,23.0,own,1,skilled,none,yes,0
male single,none,2.0,real estate,50.0,own,2,skilled,none,yes,1
male single,none,1.0,life insurance,35.0,own,2,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,life insurance,50.0,own,1,unskilled resident,none,yes,1
male single,co applicant,2.0,no known property,27.0,own,2,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,car,34.0,own,1,skilled,yes,yes,1
female div/dep/mar,none,1.0,real estate,27.0,own,1,skilled,none,yes,1
male single,co applicant,4.0,life insurance,43.0,rent,2,skilled,yes,yes,0
male single,none,4.0,life insurance,47.0,own,1,skilled,none,yes,1
male single,none,3.0,life insurance,27.0,own,2,unskilled resident,yes,yes,1
male single,none,2.0,car,31.0,own,2,skilled,yes,yes,1
male single,none,4.0,life insurance,42.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male mar/wid,none,2.0,car,24.0,own,1,skilled,none,yes,1
male single,none,2.0,real estate,41.0,own,1,unskilled resident,none,yes,0
female div/dep/mar,none,4.0,car,26.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,4.0,car,33.0,own,1,skilled,yes,yes,1
male mar/wid,none,2.0,car,24.0,own,1,skilled,none,yes,0
male single,none,4.0,real estate,64.0,rent,1,unskilled resident,none,yes,1
female div/dep/mar,none,1.0,real estate,26.0,own,1,skilled,none,yes,1
female div/dep/mar,none,2.0,no known property,56.0,own,1,skilled,none,yes,1
male single,none,4.0,no known property,37.0,for free,1,skilled,yes,yes,1
male mar/wid,none,3.0,real estate,33.0,own,2,skilled,none,yes,1
male mar/wid,none,3.0,no known property,47.0,for free,3,skilled,yes,yes,1
male single,none,3.0,life insurance,31.0,own,2,unskilled resident,yes,yes,1
male single,none,4.0,no known property,34.0,for free,1,skilled,yes,yes,1
male single,none,2.0,life insurance,27.0,own,2,skilled,yes,yes,1
male single,none,3.0,no known property,30.0,for free,1,skilled,none,yes,1
male single,co applicant,4.0,car,35.0,own,1,skilled,yes,yes,1
male single,none,3.0,life insurance,31.0,own,1,skilled,none,yes,1
male div/sep,none,3.0,life insurance,25.0,own,2,skilled,none,yes,1
female div/dep/mar,none,2.0,real estate,25.0,own,1,unskilled resident,none,yes,1
male single,none,1.0,car,29.0,own,1,skilled,none,yes,1
male single,none,3.0,real estate,44.0,own,2,unskilled resident,none,yes,1
male single,none,2.0,car,28.0,own,1,skilled,yes,yes,1
male single,none,4.0,life insurance,50.0,rent,1,skilled,none,yes,1
male single,guarantor,3.0,real estate,29.0,own,2,skilled,none,no,1
female div/dep/mar,none,2.0,life insurance,38.0,own,1,unemp/unskilled non res,none,yes,1
male single,none,2.0,car,24.0,own,2,skilled,none,yes,1
male single,none,4.0,car,40.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,car,29.0,rent,1,unskilled resident,none,yes,0
male single,none,4.0,no known property,46.0,for free,2,skilled,yes,yes,0
female div/dep/mar,none,2.0,no known property,47.0,for free,1,skilled,yes,yes,1
male single,none,2.0,life insurance,41.0,own,2,skilled,none,yes,1
female div/dep/mar,none,1.0,life insurance,32.0,own,1,skilled,yes,yes,1
female div/dep/mar,none,4.0,no known property,35.0,for free,1,skilled,none,yes,1
male single,none,2.0,life insurance,24.0,own,1,skilled,none,yes,0
female div/dep/mar,none,3.0,life insurance,25.0,rent,2,skilled,none,yes,0
female div/dep/mar,none,4.0,real estate,25.0,own,1,skilled,none,yes,1
male single,none,2.0,real estate,37.0,own,1,unskilled resident,none,yes,1
male single,none,3.0,life insurance,32.0,own,2,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,no known property,35.0,for free,1,skilled,none,yes,0
male single,none,4.0,real estate,46.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,4.0,real estate,25.0,own,2,unskilled resident,none,yes,1
male single,none,2.0,no known property,27.0,own,1,high qualif/self emp/mgmt,yes,yes,0
male single,none,4.0,car,63.0,own,2,skilled,none,yes,1
male single,none,2.0,car,40.0,own,2,skilled,yes,yes,1
male single,none,2.0,no known property,32.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,car,31.0,own,2,skilled,yes,yes,1
male mar/wid,none,4.0,car,31.0,own,2,skilled,yes,yes,1
male single,none,2.0,car,34.0,own,2,high qualif/self emp/mgmt,yes,yes,0
female div/dep/mar,none,2.0,life insurance,24.0,rent,1,skilled,none,yes,0
female div/dep/mar,none,2.0,real estate,24.0,own,1,unskilled resident,none,yes,0
female div/dep/mar,none,3.0,real estate,66.0,own,1,unskilled resident,none,yes,1
female div/dep/mar,none,3.0,real estate,21.0,rent,1,skilled,none,yes,0
female div/dep/mar,none,2.0,real estate,41.0,own,2,unskilled resident,none,yes,1
male mar/wid,none,2.0,life insurance,47.0,own,2,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,car,25.0,rent,2,skilled,none,yes,0
female div/dep/mar,none,3.0,no known property,59.0,rent,1,skilled,none,yes,0
male div/sep,none,4.0,real estate,36.0,own,2,skilled,yes,yes,1
male single,none,2.0,car,33.0,own,1,skilled,none,yes,1
male single,none,4.0,real estate,21.0,rent,1,unskilled resident,none,yes,0
female div/dep/mar,guarantor,2.0,real estate,44.0,own,1,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,car,28.0,rent,1,skilled,yes,yes,1
female div/dep/mar,none,1.0,real estate,37.0,own,1,skilled,none,yes,1
female div/dep/mar,none,2.0,no known property,29.0,own,1,unemp/unskilled non res,none,yes,1
female div/dep/mar,none,4.0,car,23.0,rent,2,high qualif/self emp/mgmt,none,yes,0
male single,none,4.0,car,35.0,own,1,unskilled resident,yes,yes,1
male single,none,3.0,no known property,45.0,own,2,high qualif/self emp/mgmt,yes,yes,1
female div/dep/mar,none,4.0,car,26.0,rent,2,unskilled resident,none,yes,0
male single,none,3.0,car,32.0,own,1,skilled,none,yes,1
male single,none,4.0,real estate,23.0,own,1,unskilled resident,none,yes,1
male single,none,3.0,life insurance,41.0,own,1,skilled,yes,yes,1
male single,none,4.0,real estate,22.0,own,1,skilled,yes,yes,1
male single,none,4.0,life insurance,30.0,own,2,high qualif/self emp/mgmt,yes,yes,1
male single,none,1.0,life insurance,28.0,own,2,unskilled resident,none,yes,1
female div/dep/mar,none,4.0,car,23.0,rent,1,skilled,none,yes,1
female div/dep/mar,none,1.0,real estate,37.0,own,1,unskilled resident,none,yes,0
